iter	Passed	Remaining
0	32	32413
1	42	21146
2	52	17522
3	60	15086
4	74	14896
5	85	14212
6	95	13484
7	101	12540
8	107	11815
9	113	11227
10	119	10746
11	125	10347
12	131	9988
13	137	9690
14	143	9431
15	149	9202
16	155	9005
17	161	8829
18	167	8673
19	174	8542
20	180	8413
21	186	8300
22	192	8192
23	198	8090
24	205	7996
25	211	7904
26	217	7826
27	223	7754
28	229	7679
29	235	7615
30	241	7549
31	247	7496
32	254	7443
33	260	7390
34	266	7340
35	272	7293
36	278	7251
37	284	7209
38	290	7164
39	297	7128
40	303	7091
41	309	7052
42	315	7020
43	321	6986
44	327	6957
45	333	6922
46	339	6889
47	346	6862
48	351	6831
49	358	6807
50	364	6780
51	370	6753
52	376	6723
53	382	6701
54	388	6682
55	395	6660
56	401	6637
57	407	6615
58	413	6594
59	419	6574
60	425	6553
61	431	6533
62	438	6514
63	444	6496
64	450	6477
65	456	6460
66	462	6439
67	468	6421
68	474	6405
69	480	6388
70	486	6371
71	492	6353
72	499	6338
73	505	6323
74	511	6309
75	517	6297
76	524	6281
77	530	6266
78	536	6252
79	542	6241
80	548	6226
81	554	6211
82	561	6199
83	567	6186
84	573	6173
85	579	6161
86	586	6149
87	592	6139
88	598	6126
89	604	6114
90	610	6100
91	616	6088
92	623	6076
93	629	6063
94	635	6053
95	641	6043
96	648	6033
97	654	6020
98	660	6011
99	666	6000
100	672	5988
101	678	5976
102	685	5966
103	691	5955
104	697	5946
105	703	5936
106	710	5925
107	716	5918
108	722	5907
109	729	5899
110	735	5891
111	741	5882
112	748	5874
113	754	5864
114	760	5856
115	767	5849
116	773	5840
117	780	5831
118	786	5822
119	792	5814
120	799	5806
121	805	5797
122	811	5789
123	818	5781
124	824	5774
125	831	5766
126	837	5758
127	843	5749
128	850	5740
129	856	5732
130	863	5726
131	870	5720
132	876	5715
133	883	5707
134	889	5699
135	896	5692
136	902	5685
137	908	5677
138	915	5669
139	921	5661
140	928	5653
141	934	5645
142	940	5637
143	946	5629
144	953	5621
145	959	5614
146	966	5606
147	972	5597
148	978	5589
149	985	5585
150	992	5582
151	999	5574
152	1005	5567
153	1012	5559
154	1018	5552
155	1024	5545
156	1031	5537
157	1037	5530
158	1044	5522
159	1050	5515
160	1056	5507
161	1063	5500
162	1069	5493
163	1076	5486
164	1082	5479
165	1089	5471
166	1095	5464
167	1101	5457
168	1108	5449
169	1114	5442
170	1121	5435
171	1127	5427
172	1133	5420
173	1140	5413
174	1146	5405
175	1153	5398
176	1159	5391
177	1165	5384
178	1172	5376
179	1178	5369
180	1185	5363
181	1191	5356
182	1198	5349
183	1204	5342
184	1211	5335
185	1217	5328
186	1223	5320
187	1230	5313
188	1236	5306
189	1243	5299
190	1249	5293
191	1256	5286
192	1262	5278
193	1268	5271
194	1275	5264
195	1281	5256
196	1287	5249
197	1294	5242
198	1300	5235
199	1307	5228
200	1313	5221
201	1320	5214
202	1326	5207
203	1332	5200
204	1339	5193
205	1345	5186
206	1352	5180
207	1358	5172
208	1365	5166
209	1371	5159
210	1377	5152
211	1384	5145
212	1390	5138
213	1396	5130
214	1403	5124
215	1409	5117
216	1416	5109
217	1422	5103
218	1429	5096
219	1435	5089
220	1441	5082
221	1448	5075
222	1454	5068
223	1461	5061
224	1467	5054
225	1473	5047
226	1480	5040
227	1486	5032
228	1492	5025
229	1499	5018
230	1505	5011
231	1511	5003
232	1517	4996
233	1524	4990
234	1530	4983
235	1537	4976
236	1543	4969
237	1550	4962
238	1556	4956
239	1562	4948
240	1569	4942
241	1575	4935
242	1582	4928
243	1588	4921
244	1594	4914
245	1601	4908
246	1607	4901
247	1613	4893
248	1620	4887
249	1626	4880
250	1633	4874
251	1639	4867
252	1646	4860
253	1652	4854
254	1659	4848
255	1665	4841
256	1672	4834
257	1678	4828
258	1685	4821
259	1691	4814
260	1697	4807
261	1704	4800
262	1710	4794
263	1717	4787
264	1723	4780
265	1730	4774
266	1736	4767
267	1742	4760
268	1749	4753
269	1756	4747
270	1762	4740
271	1768	4734
272	1775	4727
273	1781	4721
274	1788	4714
275	1794	4707
276	1800	4700
277	1807	4693
278	1813	4687
279	1820	4680
280	1826	4673
281	1833	4667
282	1839	4660
283	1845	4653
284	1852	4647
285	1859	4641
286	1865	4635
287	1872	4628
288	1878	4622
289	1885	4615
290	1891	4608
291	1898	4602
292	1904	4595
293	1910	4588
294	1917	4581
295	1923	4575
296	1930	4568
297	1936	4561
298	1942	4555
299	1949	4548
300	1955	4541
301	1962	4535
302	1968	4528
303	1974	4521
304	1981	4515
305	1989	4512
306	1997	4509
307	2005	4506
308	2012	4500
309	2019	4495
310	2027	4490
311	2033	4485
312	2041	4479
313	2047	4474
314	2054	4468
315	2061	4461
316	2068	4455
317	2074	4449
318	2081	4443
319	2087	4436
320	2094	4430
321	2101	4425
322	2108	4419
323	2115	4412
324	2121	4407
325	2128	4401
326	2135	4394
327	2141	4388
328	2148	4381
329	2155	4375
330	2161	4369
331	2168	4362
332	2174	4355
333	2180	4348
334	2187	4341
335	2193	4334
336	2199	4328
337	2206	4321
338	2212	4314
339	2219	4307
340	2225	4300
341	2231	4294
342	2238	4287
343	2244	4280
344	2251	4274
345	2257	4267
346	2264	4260
347	2270	4253
348	2276	4247
349	2283	4240
350	2289	4233
351	2295	4226
352	2302	4219
353	2308	4213
354	2315	4206
355	2321	4200
356	2328	4193
357	2335	4187
358	2341	4180
359	2347	4173
360	2354	4167
361	2360	4160
362	2367	4153
363	2373	4147
364	2380	4140
365	2386	4134
366	2393	4127
367	2399	4121
368	2406	4114
369	2412	4108
370	2419	4101
371	2425	4095
372	2432	4088
373	2438	4081
374	2445	4075
375	2451	4068
376	2457	4061
377	2463	4054
378	2470	4047
379	2476	4040
380	2482	4033
381	2489	4027
382	2495	4020
383	2502	4014
384	2508	4007
385	2515	4001
386	2521	3994
387	2528	3987
388	2534	3981
389	2541	3974
390	2547	3967
391	2553	3961
392	2560	3954
393	2566	3947
394	2573	3941
395	2580	3935
396	2586	3928
397	2592	3921
398	2599	3914
399	2605	3908
400	2611	3901
401	2618	3894
402	2624	3888
403	2631	3881
404	2637	3875
405	2644	3868
406	2650	3861
407	2656	3855
408	2663	3848
409	2669	3842
410	2676	3835
411	2682	3828
412	2689	3822
413	2695	3815
414	2702	3808
415	2708	3802
416	2714	3795
417	2721	3789
418	2727	3782
419	2734	3776
420	2740	3769
421	2747	3762
422	2753	3756
423	2760	3750
424	2766	3743
425	2773	3737
426	2780	3731
427	2786	3724
428	2793	3717
429	2799	3711
430	2806	3704
431	2812	3698
432	2819	3691
433	2825	3684
434	2832	3678
435	2838	3672
436	2844	3665
437	2851	3658
438	2858	3652
439	2864	3645
440	2870	3639
441	2877	3632
442	2884	3626
443	2890	3619
444	2896	3612
445	2902	3605
446	2910	3600
447	2916	3593
448	2922	3586
449	2929	3580
450	2935	3573
451	2942	3567
452	2948	3560
453	2954	3553
454	2961	3546
455	2967	3540
456	2973	3533
457	2980	3527
458	2987	3520
459	2993	3514
