iter	Passed	Remaining
430	1640	2165
431	1643	2161
432	1646	2156
433	1650	2152
434	1656	2150
435	1659	2146
436	1662	2141
437	1665	2137
438	1670	2134
439	1674	2130
440	1677	2126
441	1680	2121
442	1683	2117
443	1689	2115
444	1692	2110
445	1695	2105
446	1698	2101
447	1703	2099
448	1707	2094
449	1710	2090
450	1714	2086
451	1719	2084
452	1722	2080
453	1726	2075
454	1729	2071
455	1733	2068
456	1738	2065
457	1741	2060
458	1744	2055
459	1747	2051
460	1752	2049
461	1755	2044
462	1759	2040
463	1762	2035
464	1766	2032
465	1770	2029
466	1774	2024
467	1777	2020
468	1780	2016
469	1785	2013
470	1789	2009
471	1792	2005
472	1795	2000
473	1800	1998
474	1804	1994
475	1807	1990
476	1811	1986
477	1816	1983
478	1820	1979
479	1823	1975
480	1826	1971
481	1831	1967
482	1835	1964
483	1838	1959
484	1841	1955
485	1844	1951
486	1849	1948
487	1853	1944
488	1856	1940
489	1859	1935
490	1864	1933
491	1868	1929
492	1871	1924
493	1874	1920
494	1878	1916
495	1883	1913
496	1886	1909
497	1889	1905
498	1893	1900
499	1898	1898
500	1902	1894
501	1905	1890
502	1909	1886
503	1914	1884
504	1918	1880
505	1921	1875
506	1924	1871
507	1929	1868
508	1933	1864
509	1936	1860
510	1939	1856
511	1943	1852
512	1947	1849
513	1951	1844
514	1953	1839
515	1956	1835
516	1960	1831
517	1964	1828
518	1967	1823
519	1970	1819
520	1974	1815
521	1979	1812
522	1982	1808
523	1986	1804
524	1989	1799
525	1995	1797
526	1998	1793
527	2002	1789
528	2006	1786
529	2011	1783
530	2014	1779
531	2017	1775
532	2021	1770
533	2026	1768
534	2029	1764
535	2033	1760
536	2036	1755
537	2040	1751
538	2044	1748
539	2047	1744
540	2051	1740
541	2054	1736
542	2060	1733
543	2063	1729
544	2066	1725
545	2069	1721
546	2075	1718
547	2078	1714
548	2081	1710
549	2085	1706
550	2090	1703
551	2094	1699
552	2098	1696
553	2101	1692
554	2106	1689
555	2110	1685
556	2113	1680
557	2116	1676
558	2119	1672
559	2125	1669
560	2128	1665
561	2131	1661
562	2134	1656
563	2139	1654
564	2143	1650
565	2146	1645
566	2149	1641
567	2153	1637
568	2157	1634
569	2160	1630
570	2164	1626
571	2167	1621
572	2172	1619
573	2176	1615
574	2179	1610
575	2182	1606
576	2186	1602
577	2189	1598
578	2194	1595
579	2198	1592
580	2202	1588
581	2207	1585
582	2210	1581
583	2214	1577
584	2218	1573
585	2223	1570
586	2226	1566
587	2229	1562
588	2234	1558
589	2238	1555
590	2242	1551
591	2245	1547
592	2249	1543
593	2254	1541
594	2258	1537
595	2265	1535
596	2270	1532
597	2274	1528
598	2277	1524
599	2281	1520
600	2286	1517
601	2289	1513
602	2293	1509
603	2297	1506
604	2302	1503
605	2305	1499
606	2308	1494
607	2312	1490
608	2316	1487
609	2320	1483
610	2323	1479
611	2326	1475
612	2330	1471
613	2335	1468
614	2339	1464
615	2342	1460
616	2345	1455
617	2350	1452
618	2354	1449
619	2357	1444
620	2360	1440
621	2365	1437
622	2369	1433
623	2372	1429
624	2376	1425
625	2379	1421
626	2384	1418
627	2388	1414
628	2392	1410
629	2395	1406
630	2400	1403
631	2403	1399
632	2406	1395
633	2410	1391
634	2414	1388
635	2419	1384
636	2422	1380
637	2425	1376
638	2428	1372
639	2433	1368
640	2437	1364
641	2440	1360
642	2443	1356
643	2448	1353
644	2452	1349
645	2455	1345
646	2458	1341
647	2462	1337
648	2467	1334
649	2470	1330
650	2473	1326
651	2476	1322
652	2482	1318
653	2485	1314
654	2489	1311
655	2492	1307
656	2497	1304
657	2501	1300
658	2504	1296
659	2507	1291
660	2512	1288
661	2516	1284
662	2519	1280
663	2522	1276
664	2526	1272
665	2531	1269
666	2534	1265
667	2537	1261
668	2540	1257
669	2544	1253
670	2548	1249
671	2551	1245
672	2554	1241
673	2558	1237
674	2562	1233
675	2566	1230
676	2569	1226
677	2573	1222
678	2577	1218
679	2580	1214
680	2584	1210
681	2588	1207
682	2592	1203
683	2597	1199
684	2600	1195
685	2603	1191
686	2607	1188
687	2611	1184
688	2615	1180
689	2619	1176
690	2622	1172
691	2626	1168
692	2629	1164
693	2632	1160
694	2635	1156
695	2638	1152
696	2642	1148
697	2646	1144
698	2650	1141
699	2653	1137
700	2657	1133
701	2661	1129
702	2665	1126
703	2669	1122
704	2672	1118
705	2675	1114
706	2679	1110
707	2683	1106
708	2687	1102
709	2690	1098
710	2693	1094
711	2697	1090
712	2700	1087
713	2705	1083
714	2708	1079
715	2711	1075
716	2715	1071
717	2720	1068
718	2723	1064
719	2727	1060
720	2730	1056
721	2734	1052
722	2738	1049
723	2741	1045
724	2745	1041
725	2748	1037
726	2751	1033
727	2755	1029
728	2759	1025
729	2763	1022
730	2766	1018
731	2770	1014
732	2773	1010
733	2777	1006
734	2781	1002
735	2785	999
736	2789	995
737	2794	991
738	2797	987
739	2800	983
740	2803	980
741	2808	976
742	2811	972
743	2815	968
744	2818	964
745	2821	960
746	2825	956
747	2829	953
748	2833	949
749	2837	945
750	2840	941
751	2844	938
752	2848	934
753	2852	930
754	2855	926
755	2858	922
756	2863	919
757	2867	915
758	2870	911
759	2874	907
760	2878	903
761	2882	900
762	2886	896
763	2890	892
764	2893	888
765	2896	884
766	2900	881
767	2904	877
768	2907	873
769	2911	869
770	2914	865
771	2917	861
772	2921	857
773	2924	853
774	2927	849
775	2930	846
776	2935	842
777	2938	838
778	2943	835
779	2946	831
780	2950	827
781	2954	823
782	2957	819
783	2961	815
784	2965	812
785	2969	808
786	2973	804
787	2977	800
788	2981	797
789	2984	793
790	2987	789
791	2991	785
792	2995	781
793	2999	778
794	3002	774
795	3005	770
796	3009	766
797	3013	762
798	3016	758
799	3019	754
800	3023	751
801	3028	747
802	3032	743
803	3035	739
804	3038	736
805	3042	732
806	3047	728
807	3050	724
808	3053	721
809	3058	717
810	3061	713
811	3065	709
812	3069	705
813	3073	702
814	3077	698
815	3081	694
816	3084	690
817	3088	687
818	3092	683
819	3096	679
820	3099	675
821	3103	671
822	3107	668
823	3111	664
824	3114	660
825	3117	656
826	3121	652
827	3125	649
828	3129	645
829	3132	641
830	3135	637
831	3140	634
832	3144	630
833	3147	626
834	3151	622
835	3155	618
836	3159	615
837	3163	611
838	3166	607
839	3170	603
840	3173	600
841	3177	596
842	3181	592
843	3184	588
844	3188	584
845	3193	581
846	3196	577
847	3199	573
848	3203	569
849	3207	565
850	3211	562
851	3214	558
852	3217	554
853	3221	550
854	3226	547
855	3229	543
856	3232	539
857	3236	535
858	3240	531
859	3244	528
860	3247	524
861	3251	520
862	3256	516
863	3260	513
864	3263	509
865	3266	505
866	3270	501
867	3274	498
868	3278	494
869	3281	490
870	3285	486
871	3289	482
872	3293	479
873	3296	475
874	3299	471
875	3304	467
876	3308	464
877	3311	460
878	3314	456
879	3318	452
880	3323	448
881	3326	445
882	3329	441
883	3334	437
884	3338	433
885	3341	429
886	3344	426
887	3348	422
888	3352	418
889	3355	414
890	3359	410
891	3363	407
892	3367	403
893	3371	399
894	3375	395
895	3378	392
896	3381	388
897	3386	384
898	3390	380
899	3393	377
900	3396	373
901	3400	369
902	3404	365
903	3407	361
904	3411	358
905	3415	354
906	3418	350
907	3422	346
908	3426	342
909	3429	339
910	3432	335
911	3437	331
912	3440	327
913	3443	324
914	3448	320
915	3451	316
916	3455	312
917	3459	308
918	3464	305
919	3468	301
920	3472	297
921	3475	294
922	3479	290
923	3483	286
924	3487	282
925	3490	278
926	3494	275
927	3497	271
928	3500	267
929	3503	263
930	3506	259
931	3509	256
932	3513	252
933	3517	248
934	3520	244
935	3524	240
936	3528	237
937	3532	233
938	3536	229
939	3539	225
940	3543	222
941	3546	218
942	3551	214
943	3554	210
944	3557	207
945	3561	203
946	3564	199
947	3568	195
948	3571	191
949	3576	188
950	3580	184
951	3584	180
952	3587	176
953	3590	173
954	3594	169
955	3598	165
956	3602	161
957	3605	158
958	3609	154
959	3613	150
960	3617	146
961	3620	143
962	3624	139
963	3628	135
964	3632	131
965	3635	127
966	3639	124
967	3644	120
968	3648	116
969	3651	112
970	3654	109
971	3658	105
972	3661	101
973	3665	97
974	3669	94
975	3674	90
976	3677	86
977	3681	82
978	3684	79
979	3688	75
980	3692	71
981	3696	67
982	3699	63
983	3702	60
984	3706	56
985	3710	52
986	3714	48
987	3717	45
988	3721	41
989	3725	37
990	3729	33
991	3732	30
992	3735	26
993	3740	22
994	3744	18
995	3747	15
996	3750	11
997	3754	7
998	3757	3
999	3761	0
