iter	Logloss
0	0.6883260498
1	0.6835249023
2	0.6751621094
3	0.6684569092
4	0.6644573364
5	0.6582908936
6	0.6510615234
7	0.6447209473
8	0.6388144531
9	0.6321013184
10	0.6270775757
11	0.6221871338
12	0.6163999023
13	0.6100489502
14	0.6054921875
15	0.5990193481
16	0.5929502563
17	0.5884956055
18	0.5821454468
19	0.5786668701
20	0.5728612671
21	0.5679750977
22	0.5638341675
23	0.5575048828
24	0.552815918
25	0.5457767944
26	0.5416921997
27	0.5386118164
28	0.5341486816
29	0.5296491699
30	0.5254573975
31	0.5209058838
32	0.5163896484
33	0.5116831665
34	0.5069391174
35	0.5042469482
36	0.5009194336
37	0.4958754883
38	0.4921078186
39	0.4899321594
40	0.4853684082
41	0.4799985962
42	0.4763851318
43	0.4728712158
44	0.4701254578
45	0.4678481445
46	0.4659857178
47	0.4621746216
48	0.4584562988
49	0.45559552
50	0.4520725098
51	0.449736145
52	0.4467704163
53	0.4434398499
54	0.4409347839
55	0.4387220764
56	0.4371123657
57	0.4341207275
58	0.4306297607
59	0.4270583191
60	0.4245623779
61	0.4219641113
62	0.4183607788
63	0.4164082336
64	0.413790863
65	0.4108936462
66	0.4090810547
67	0.4073473206
68	0.4053854065
69	0.4027876892
70	0.4016344604
71	0.3990644836
72	0.3970586243
73	0.3948657837
74	0.3930231628
75	0.3908167725
76	0.3886273193
77	0.385960083
78	0.3832947083
79	0.3809627686
80	0.3787270508
81	0.376770813
82	0.3743764038
83	0.3718713989
84	0.3695117798
85	0.366899231
86	0.3639822388
87	0.3610864258
88	0.3601856995
89	0.3586254272
90	0.3573478394
91	0.3560745544
92	0.3542320557
93	0.3524720154
94	0.3509724426
95	0.3497961731
96	0.3481842651
97	0.3454691467
98	0.3441710815
99	0.3430444031
100	0.3417750854
101	0.339789978
102	0.3389331055
103	0.3374737549
104	0.3365263367
105	0.3343283691
106	0.3333094788
107	0.330356781
108	0.3285256042
109	0.3274487305
110	0.326572876
111	0.3256069946
112	0.3243299561
113	0.3235013733
114	0.3225619507
115	0.3208644409
116	0.3193751831
117	0.3182816162
118	0.3173435669
119	0.3159535828
120	0.3145310364
121	0.3124223633
122	0.3110785217
123	0.3096888428
124	0.3087922363
125	0.3078953247
126	0.3064309387
127	0.3055946655
128	0.3047363281
129	0.3033407898
130	0.3027250977
131	0.3017893982
132	0.3007839966
133	0.2997525635
134	0.2985776672
135	0.2978233643
136	0.2963936768
137	0.295382843
138	0.2942112427
139	0.2931982117
140	0.2916038818
141	0.2900083313
142	0.2881656494
143	0.286661499
144	0.2860612488
145	0.2851355896
146	0.2840698547
147	0.2829609375
148	0.2819134216
149	0.2810585327
150	0.2800686035
151	0.278753418
152	0.2778200684
153	0.2770024719
154	0.2753171692
155	0.2744119568
156	0.2732948914
157	0.2724244995
158	0.2711301575
159	0.2695249329
160	0.2686113892
161	0.267164917
162	0.2658967896
163	0.2649576416
164	0.2641147156
165	0.2627853699
166	0.2621150513
167	0.2607918091
168	0.2598045044
169	0.2593550415
170	0.2583364868
171	0.2571013794
172	0.2556208191
173	0.2543522644
174	0.2537476196
175	0.2528587494
176	0.2512894287
177	0.2506182709
178	0.2493694153
179	0.2484543457
180	0.2473435974
181	0.2463729553
182	0.2456318054
183	0.2444793549
184	0.2438503876
185	0.2424976196
186	0.2419735413
187	0.2415895538
188	0.2395661011
189	0.2384945221
190	0.2381979065
191	0.2372788849
192	0.2363595276
193	0.2351587067
194	0.2341720276
195	0.2333246613
196	0.2325696106
197	0.231750473
198	0.2313500214
199	0.2306019287
200	0.2295667419
201	0.2289059143
202	0.2273611603
203	0.2262162476
204	0.2254447327
205	0.2247159119
206	0.2242404785
207	0.2235834045
208	0.2229885254
209	0.2221737518
210	0.2212955322
211	0.220412262
212	0.2196845093
213	0.2188817749
214	0.2182560425
215	0.217883728
216	0.2170294647
217	0.2159425201
218	0.2155935364
219	0.2146382141
220	0.2141523895
221	0.2134256592
222	0.2129772034
223	0.2127098694
224	0.2122583771
225	0.2104066315
226	0.2100151978
227	0.2096700134
228	0.2086000977
229	0.2082594604
230	0.2074059753
231	0.207027832
232	0.2064431152
233	0.2059848633
234	0.205341629
235	0.2051323242
236	0.2044943848
237	0.2036390991
238	0.2030161133
239	0.2022838135
240	0.2016512146
241	0.2007392578
242	0.2002045898
243	0.1991792603
244	0.1986503754
245	0.1975362396
246	0.1967386169
247	0.1964124298
248	0.195578064
249	0.194685318
250	0.194451355
251	0.1934528809
252	0.1924320374
253	0.1920325623
254	0.1916874847
255	0.1908364563
256	0.1905764465
257	0.190197998
258	0.1895747986
259	0.1890136108
260	0.1887492371
261	0.1883773804
262	0.1875968628
263	0.1871534576
264	0.1862356415
265	0.185725708
266	0.1847797852
