Material,Space group,Crystal Type,Band gap,stoichiometry,media_Z,media_pon_Z,max_Z,min_Z,desvio_Z,desvio_pon_Z,media_Electronegativity,media_pon_Electronegativity,max_Electronegativity,min_Electronegativity,desvio_Electronegativity,desvio_pon_Electronegativity,media_IonizationPotential,media_pon_IonizationPotential,max_IonizationPotential,min_IonizationPotential,desvio_IonizationPotential,desvio_pon_IonizationPotential,media_ElectronAffinity,media_pon_ElectronAffinity,max_ElectronAffinity,min_ElectronAffinity,desvio_ElectronAffinity,desvio_pon_ElectronAffinity,media_HOMO,media_pon_HOMO,max_HOMO,min_HOMO,desvio_HOMO,desvio_pon_HOMO,media_LUMO,media_pon_LUMO,max_LUMO,min_LUMO,desvio_LUMO,desvio_pon_LUMO,media_r_s_orbital,media_pon_r_s_orbital,max_r_s_orbital,min_r_s_orbital,desvio_r_s_orbital,desvio_pon_r_s_orbital,media_r_p_orbital,media_pon_r_p_orbital,max_r_p_orbital,min_r_p_orbital,desvio_r_p_orbital,desvio_pon_r_p_orbital,media_r_d_orbital,media_pon_r_d_orbital,max_r_d_orbital,min_r_d_orbital,desvio_r_d_orbital,desvio_pon_r_d_orbital,media_r_atomic_nonbonded,media_pon_r_atomic_nonbonded,max_r_atomic_nonbonded,min_r_atomic_nonbonded,desvio_r_atomic_nonbonded,desvio_pon_r_atomic_nonbonded,media_r_valence_lastorbital,media_pon_r_valence_lastorbital,max_r_valence_lastorbital,min_r_valence_lastorbital,desvio_r_valence_lastorbital,desvio_pon_r_valence_lastorbital,media_r_covalent,media_pon_r_covalent,max_r_covalent,min_r_covalent,desvio_r_covalent,desvio_pon_r_covalent,media_Valence,media_pon_Valence,max_Valence,min_Valence,desvio_Valence,desvio_pon_Valence,media_PeriodicColumn,media_pon_PeriodicColumn,max_PeriodicColumn,min_PeriodicColumn,desvio_PeriodicColumn,desvio_pon_PeriodicColumn,media_PeriodicColumn_upto18,media_pon_PeriodicColumn_upto18,max_PeriodicColumn_upto18,min_PeriodicColumn_upto18,desvio_PeriodicColumn_upto18,desvio_pon_PeriodicColumn_upto18,media_NumberUnfilledOrbitals,media_pon_NumberUnfilledOrbitals,max_NumberUnfilledOrbitals,min_NumberUnfilledOrbitals,desvio_NumberUnfilledOrbitals,desvio_pon_NumberUnfilledOrbitals,media_Polarizability,media_pon_Polarizability,max_Polarizability,min_Polarizability,desvio_Polarizability,desvio_pon_Polarizability
Cu2Br2Se2,Pmmn,ABC-59-ab,0.0,ABC,32.666666666666664,32.666666666666664,35,29,2.6246692913372702,2.6246692913372702,2.4699999999999998,2.4699999999999998,2.96,1.9,0.43642486944108333,0.43642486944108333,-10.529766666666667,-10.529766666666667,-8.291,-12.5044,1.7302234351538404,1.7302234351538404,-2.494066666666667,-2.494066666666667,-1.4328,-3.515,0.8505328891674652,0.8505328891674652,-6.325733333333333,-6.325733333333333,-4.6082,-7.8585,1.3333458074416489,1.3333458074416489,3.8396999999999992,3.8396999999999992,5.4193,1.3569,1.7771890013914293,1.7771890013914293,0.9177666666666666,0.9177666666666666,1.2022,0.7514,0.20208902878571997,0.20208902878571997,1.0301333333333333,1.0301333333333333,1.2492,0.8834,0.15785329335247408,0.15785329335247408,0.2622666666666667,0.2622666666666667,0.319,0.2281,0.04039507670771554,0.04039507670771554,1.2266666666666666,1.2266666666666666,1.38,1.14,0.10873004286866726,0.10873004286866726,1.0144666666666666,1.0144666666666666,1.2022,0.8834,0.13617805337947161,0.13617805337947161,1.24,1.24,1.32,1.2,0.05656854249492385,0.05656854249492385,14.666666666666666,14.666666666666666,17.0,11.0,2.6246692913372702,2.6246692913372702,4.666666666666667,4.666666666666667,7.0,1.0,2.6246692913372702,2.6246692913372702,14.666666666666666,14.666666666666666,17.0,11.0,2.6246692913372702,2.6246692913372702,1.3333333333333333,1.3333333333333333,2.0,1.0,0.4714045207910317,0.4714045207910317,33.82666666666666,33.82666666666666,53.44,21.8,13.986673021924199,13.986673021924199
Ga2Br2O2,Pmmn,ABC-59-ab,2.5145282051553473,ABC,24.666666666666668,24.666666666666668,35,8,11.897712198383164,11.897712198383164,2.7366666666666664,2.7366666666666664,3.44,1.81,0.6839265717571993,0.6839265717571993,-11.480833333333335,-11.480833333333335,-5.6321,-16.306,4.41729946485658,4.41729946485658,-2.068566666666667,-2.068566666666667,0.1264,-3.515,1.578010372448659,1.578010372448659,-6.489366666666666,-6.489366666666666,-2.5791,-9.0305,2.8060690242559767,2.8060690242559767,4.300233333333334,4.300233333333334,5.4193,3.273,0.8786261788850944,0.8786261788850944,0.7382999999999998,0.7382999999999998,1.0027,0.4608,0.22142359103462,0.22142359103462,0.8869000000000001,0.8869000000000001,1.344,0.4333,0.37179995517302944,0.37179995517302944,0.5284666666666666,0.5284666666666666,1.075,0.2281,0.38709036269182534,0.38709036269182534,1.0433333333333332,1.0433333333333332,1.26,0.73,0.2269116323349001,0.2269116323349001,0.8869000000000001,0.8869000000000001,1.344,0.4333,0.37179995517302944,0.37179995517302944,1.0266666666666666,1.0266666666666666,1.22,0.66,0.25940101944458294,0.25940101944458294,12.0,12.0,17.0,6.0,4.546060565661952,4.546060565661952,5.333333333333333,5.333333333333333,7.0,3.0,1.699673171197595,1.699673171197595,15.333333333333334,15.333333333333334,17.0,13.0,1.699673171197595,1.699673171197595,2.6666666666666665,2.6666666666666665,5.0,1.0,1.699673171197595,1.699673171197595,26.146666666666665,26.146666666666665,51.4,5.24,19.093743012364605,19.093743012364605
Br2Ge2O2,Pmmn,ABC-59-ab,0.0,ABC,25.0,25.0,35,8,12.083045973594572,12.083045973594572,2.8033333333333332,2.8033333333333332,3.44,2.01,0.5942128313061651,0.5942128313061651,-12.067733333333335,-12.067733333333335,-7.3928,-16.306,3.651875490149624,3.651875490149624,-2.3480666666666665,-2.3480666666666665,-0.7121,-3.515,1.1913735219858168,1.1913735219858168,-6.927933333333333,-6.927933333333333,-3.8948,-9.0305,2.1974711774117894,2.1974711774117894,4.350433333333334,4.350433333333334,5.4193,3.4236,0.820907921484228,0.820907921484228,0.7113999999999999,0.7113999999999999,0.922,0.4608,0.19039670865502553,0.19039670865502553,0.8296,0.8296,1.1721,0.4333,0.30400349778689495,0.30400349778689495,0.5232333333333333,0.5232333333333333,1.075,0.2281,0.3904744151527586,0.3904744151527586,1.03,1.03,1.22,0.73,0.2146314670934033,0.2146314670934033,0.8296,0.8296,1.1721,0.4333,0.30400349778689495,0.30400349778689495,1.02,1.02,1.2,0.66,0.2545584412271571,0.2545584412271571,12.333333333333334,12.333333333333334,17.0,6.0,4.642796092394707,4.642796092394707,5.666666666666667,5.666666666666667,7.0,4.0,1.247219128924647,1.247219128924647,15.666666666666666,15.666666666666666,17.0,14.0,1.247219128924647,1.247219128924647,2.3333333333333335,2.3333333333333335,4.0,1.0,1.247219128924647,1.247219128924647,22.156666666666666,22.156666666666666,39.43,5.24,13.960287325919271,13.960287325919271
HfBrI,P3m1,ABC-156-abc,0.0,ABC,53.333333333333336,53.333333333333336,72,35,15.107025591499546,15.107025591499546,2.3066666666666666,2.3066666666666666,2.96,1.3,0.7222803395419876,0.7222803395419876,-10.0315,-10.0315,-6.4985,-12.5044,2.56392507820854,2.56392507820854,-2.0184333333333333,-2.0184333333333333,0.7772,-3.515,1.9784549297087586,1.9784549297087586,-5.878699999999999,-5.878699999999999,-2.6937,-7.8585,2.2742280800306727,2.2742280800306727,3.0559999999999996,3.0559999999999996,5.4193,-0.4781,2.5459655889269204,2.5459655889269204,1.0634666666666666,1.0634666666666666,1.5366,0.7514,0.3401878043408115,0.3401878043408115,1.2299666666666667,1.2299666666666667,1.7316,0.8834,0.36322175350909564,0.36322175350909564,0.5116999999999999,0.5116999999999999,0.8951,0.2281,0.281297327869759,0.281297327869759,1.3233333333333333,1.3233333333333333,1.5,1.14,0.14704496666741856,0.14704496666741856,0.9511333333333333,0.9511333333333333,1.0749,0.8834,0.08764649958149434,0.08764649958149434,1.4466666666666665,1.4466666666666665,1.75,1.2,0.2280838052607467,0.2280838052607467,17.333333333333332,17.333333333333332,18.0,17.0,0.4714045207910317,0.4714045207910317,6.0,6.0,7.0,4.0,1.4142135623730951,1.4142135623730951,12.666666666666666,12.666666666666666,17.0,4.0,6.128258770283412,6.128258770283412,3.3333333333333335,3.3333333333333335,8.0,1.0,3.2998316455372216,3.2998316455372216,55.13333333333333,55.13333333333333,109.0,21.8,38.44626842172794,38.44626842172794
Hf2Br2S2,Pmmn,ABC-59-ab,0.0,ABC,41.0,41.0,72,16,23.25224003546038,23.25224003546038,2.28,2.28,2.96,1.3,0.7101173611922655,0.7101173611922655,-10.242566666666667,-10.242566666666667,-6.4985,-12.5044,2.666517134557528,2.666517134557528,-1.7789000000000001,-1.7789000000000001,0.7772,-3.515,1.8457239248237174,1.8457239248237174,-5.853533333333334,-5.853533333333334,-2.6937,-7.8585,2.26113209452453,2.26113209452453,3.193566666666667,3.193566666666667,5.4193,-0.4781,2.615705652825299,2.615705652825299,1.0117666666666667,1.0117666666666667,1.5366,0.7473,0.37111698365280393,0.37111698365280393,1.1547666666666667,1.1547666666666667,1.7316,0.8493,0.40812026277665864,0.40812026277665864,0.8388666666666666,0.8388666666666666,1.3934,0.2281,0.47739059014140145,0.47739059014140145,1.22,1.22,1.5,1.02,0.20396078054371142,0.20396078054371142,0.8759333333333333,0.8759333333333333,0.8951,0.8493,0.019428901724549977,0.019428901724549977,1.3333333333333333,1.3333333333333333,1.75,1.05,0.3009245014211298,0.3009245014211298,13.666666666666666,13.666666666666666,18.0,6.0,5.436502143433364,5.436502143433364,5.666666666666667,5.666666666666667,7.0,4.0,1.247219128924647,1.247219128924647,12.333333333333334,12.333333333333334,17.0,4.0,5.90668171555645,5.90668171555645,3.6666666666666665,3.6666666666666665,8.0,1.0,3.091206165165235,3.091206165165235,50.05666666666667,50.05666666666667,109.0,19.37,41.691035274051686,41.691035274051686
Hg2Br2N2,Pmmn,ABC-59-ab,0.0,ABC,40.666666666666664,40.666666666666664,80,7,30.07028803025043,30.07028803025043,2.6666666666666665,2.6666666666666665,3.04,2.0,0.472534537244516,0.472534537244516,-12.263,-12.263,-10.719,-13.5656,1.1745888245112275,1.1745888245112275,-1.1679666666666668,-1.1679666666666668,1.688,-3.515,2.1543850017013106,2.1543850017013106,-7.2520999999999995,-7.2520999999999995,-6.808,-7.8585,0.44395459978095375,0.44395459978095375,3.4771,3.4771,5.4193,0.8594,1.9218735979940684,1.9218735979940684,0.8183333333333334,0.8183333333333334,1.1675,0.5361,0.26207701582210946,0.26207701582210946,1.0907333333333333,1.0907333333333333,1.8734,0.5154,0.5734581259536063,0.5734581259536063,0.6859666666666667,0.6859666666666667,1.214,0.2281,0.40553850892636845,0.40553850892636845,1.1266666666666667,1.1266666666666667,1.49,0.75,0.30225081564084416,0.30225081564084416,0.8554333333333334,0.8554333333333334,1.1675,0.5154,0.26695218464902826,0.26695218464902826,1.0766666666666667,1.0766666666666667,1.32,0.71,0.26386023236217737,0.26386023236217737,16.0,16.0,26.0,5.0,8.602325267042627,8.602325267042627,4.666666666666667,4.666666666666667,7.0,2.0,2.0548046676563256,2.0548046676563256,14.666666666666666,14.666666666666666,17.0,12.0,2.0548046676563256,2.0548046676563256,1.3333333333333333,1.3333333333333333,3.0,0.0,1.247219128924647,1.247219128924647,21.223333333333336,21.223333333333336,34.27,7.6,10.895614816164448,10.895614816164448
TaBrI,P3m1,ABC-156-abc,0.0,ABC,53.666666666666664,53.666666666666664,73,35,15.520595635763755,15.520595635763755,2.3733333333333335,2.3733333333333335,2.96,1.5,0.6295677529508286,0.6295677529508286,-10.429766666666668,-10.429766666666668,-7.6933,-12.5044,2.0191067865656724,2.0191067865656724,-2.2076333333333333,-2.2076333333333333,0.2096,-3.515,1.7111427572109685,1.7111427572109685,-6.179566666666666,-6.179566666666666,-3.5963,-7.8585,1.8538161169748082,1.8538161169748082,3.0675000000000003,3.0675000000000003,5.4193,-0.4436,2.530004146241662,2.530004146241662,1.0401,1.0401,1.4665,0.7514,0.30774769969354226,0.30774769969354226,1.2075666666666667,1.2075666666666667,1.6644,0.8834,0.3323558166918234,0.3323558166918234,0.4923333333333333,0.4923333333333333,0.837,0.2281,0.2550058082127194,0.2550058082127194,1.2833333333333332,1.2833333333333332,1.38,1.14,0.10338708279513883,0.10338708279513883,0.9317666666666667,0.9317666666666667,1.0749,0.837,0.10296796697139467,0.10296796697139467,1.43,1.43,1.7,1.2,0.2060744202143164,0.2060744202143164,17.666666666666668,17.666666666666668,19.0,17.0,0.9428090415820634,0.9428090415820634,6.333333333333333,6.333333333333333,7.0,5.0,0.9428090415820634,0.9428090415820634,13.0,13.0,17.0,5.0,5.656854249492381,5.656854249492381,3.0,3.0,7.0,1.0,2.8284271247461903,2.8284271247461903,48.13333333333333,48.13333333333333,88.0,21.8,28.670232336383712,28.670232336383712
ZrBrI,P3m1,ABC-156-ac,0.7737126562498523,ABC,42.666666666666664,42.666666666666664,53,35,7.586537784494029,7.586537784494029,2.316666666666667,2.316666666666667,2.96,1.33,0.7083470586905515,0.7083470586905515,-10.076633333333334,-10.076633333333334,-6.6339,-12.5044,2.5017741122828996,2.5017741122828996,-2.2814,-2.2814,-0.0117,-3.515,1.6069443321617172,1.6069443321617172,-6.181533333333333,-6.181533333333333,-3.6022,-7.8585,1.8510756554560979,1.8510756554560979,3.0394,3.0394,5.4193,-0.5279,2.569012265443667,2.569012265443667,1.1077333333333332,1.1077333333333332,1.6694,0.7514,0.4019140317143567,0.4019140317143567,1.2386000000000001,1.2386000000000001,1.7575,0.8834,0.37515416386689177,0.37515416386689177,0.49479999999999996,0.49479999999999996,0.8444,0.2281,0.25834180201172763,0.25834180201172763,1.3166666666666667,1.3166666666666667,1.48,1.14,0.13912424503139476,0.13912424503139476,0.9342333333333332,0.9342333333333332,1.0749,0.8444,0.10073259430569408,0.10073259430569408,1.4466666666666665,1.4466666666666665,1.75,1.2,0.2280838052607467,0.2280838052607467,12.666666666666666,12.666666666666666,17.0,4.0,6.128258770283412,6.128258770283412,6.0,6.0,7.0,4.0,1.4142135623730951,1.4142135623730951,12.666666666666666,12.666666666666666,17.0,4.0,6.128258770283412,6.128258770283412,3.3333333333333335,3.3333333333333335,8.0,1.0,3.2998316455372216,3.2998316455372216,59.13333333333333,59.13333333333333,121.0,21.8,44.057336379868545,44.057336379868545
In2Br2S2,Pmmn,ABC-59-ab,1.908160946441894,ABC,33.333333333333336,33.333333333333336,49,16,13.523641850067197,13.523641850067197,2.44,2.44,2.96,1.78,0.49179941710687974,0.49179941710687974,-9.848333333333334,-9.848333333333334,-5.3158,-12.5044,3.220749173027225,3.220749173027225,-2.041733333333333,-2.041733333333333,-0.0113,-3.515,1.4836451604821899,1.4836451604821899,-5.794999999999999,-5.794999999999999,-2.5181,-7.8585,2.3429643203998363,2.3429643203998363,4.2518666666666665,4.2518666666666665,5.4193,2.6968,1.1447550722995532,1.1447550722995532,0.8798,0.8798,1.1407,0.7473,0.18449175229984316,0.18449175229984316,1.082,1.082,1.5133,0.8493,0.3052927229179672,0.3052927229179672,0.7048,0.7048,1.3934,0.2281,0.49876997370197285,0.49876997370197285,1.2,1.2,1.44,1.02,0.17663521732655693,0.17663521732655693,1.082,1.082,1.5133,0.8493,0.3052927229179672,0.3052927229179672,1.2233333333333334,1.2233333333333334,1.42,1.05,0.1519502842672197,0.1519502842672197,12.0,12.0,17.0,6.0,4.546060565661952,4.546060565661952,5.333333333333333,5.333333333333333,7.0,3.0,1.699673171197595,1.699673171197595,15.333333333333334,15.333333333333334,17.0,13.0,1.699673171197595,1.699673171197595,2.6666666666666665,2.6666666666666665,5.0,1.0,1.699673171197595,1.699673171197595,34.39,34.39,62.0,19.37,19.548406584681015,19.548406584681015
Ir2Br2S2,Pmmn,ABC-59-ab,0.3437975247414944,ABC,42.666666666666664,42.666666666666664,77,16,25.48637980482037,25.48637980482037,2.58,2.58,2.96,2.2,0.3102687007525358,0.3102687007525358,-11.016433333333334,-11.016433333333334,-8.8201,-12.5044,1.5853189212969807,1.5853189212969807,-2.8849666666666667,-2.8849666666666667,-2.541,-3.515,0.44612748800713414,0.44612748800713414,-6.852333333333334,-6.852333333333334,-5.6901,-7.8585,0.8920976192223709,0.8920976192223709,3.5219,3.5219,5.4193,0.5069,2.1555650086848845,2.1555650086848845,0.8317666666666667,0.8317666666666667,0.9966,0.7473,0.11656678581635321,0.11656678581635321,1.0674,1.0674,1.4695,0.8493,0.2846682396521724,0.2846682396521724,0.7717999999999999,0.7717999999999999,1.3934,0.2281,0.47891010290728536,0.47891010290728536,1.1766666666666665,1.1766666666666665,1.37,1.02,0.1452201394052798,0.1452201394052798,0.8088666666666667,0.8088666666666667,0.8834,0.6939,0.0824770809915633,0.0824770809915633,1.22,1.22,1.41,1.05,0.14764823060233395,0.14764823060233395,15.333333333333334,15.333333333333334,23.0,6.0,7.039570693980959,7.039570693980959,7.333333333333333,7.333333333333333,9.0,6.0,1.247219128924647,1.247219128924647,14.0,14.0,17.0,9.0,3.559026084010437,3.559026084010437,2.0,2.0,3.0,1.0,0.816496580927726,0.816496580927726,30.723333333333333,30.723333333333333,51.0,19.37,14.372047716159154,14.372047716159154
Mo2Br2N2,Pmmn,ABC-59-ab,0.0,ABC,28.0,28.0,42,7,15.121728296285006,15.121728296285006,2.72,2.72,3.04,2.16,0.3973243846867023,0.3973243846867023,-10.978933333333336,-10.978933333333336,-6.8668,-13.5656,2.9398148210766992,2.9398148210766992,-2.2493333333333334,-2.2493333333333334,-1.5561,-3.515,0.8963192300861464,0.8963192300861464,-6.4222,-6.4222,-4.3183,-7.8585,1.5204212859160673,1.5204212859160673,3.1458,3.1458,5.4193,-0.1345,2.376469130173305,2.376469130173305,0.9430999999999999,0.9430999999999999,1.5418,0.5361,0.43237313360876933,0.43237313360876933,1.0204666666666669,1.0204666666666669,1.6626,0.5154,0.4782659046550941,0.4782659046550941,0.7230666666666666,0.7230666666666666,1.214,0.2281,0.4025020938523868,0.4025020938523868,1.1133333333333333,1.1133333333333333,1.45,0.75,0.2863952203201412,0.2863952203201412,0.7086333333333333,0.7086333333333333,0.8834,0.5154,0.15080177570425207,0.15080177570425207,1.1500000000000001,1.1500000000000001,1.54,0.71,0.34068558329736626,0.34068558329736626,9.333333333333334,9.333333333333334,17.0,5.0,5.436502143433364,5.436502143433364,6.0,6.0,7.0,5.0,0.816496580927726,0.816496580927726,12.666666666666666,12.666666666666666,17.0,6.0,4.784233364802441,4.784233364802441,3.3333333333333335,3.3333333333333335,6.0,1.0,2.0548046676563256,2.0548046676563256,38.46666666666666,38.46666666666666,86.0,7.6,34.107412032512165,34.107412032512165
Nb2Br2N2,Pmmn,ABC-59-ab,0.0,ABC,27.666666666666668,27.666666666666668,41,7,14.817407180595245,14.817407180595245,2.5333333333333337,2.5333333333333337,3.04,1.6,0.6607739569794062,0.6607739569794062,-11.082766666666666,-11.082766666666666,-7.1783,-13.5656,2.794659349942712,2.794659349942712,-2.0158333333333336,-2.0158333333333336,-0.8556,-3.515,1.1118330040473206,1.1118330040473206,-6.5223,-6.5223,-4.6186,-7.8585,1.3822156585231797,1.3822156585231797,2.948333333333333,2.948333333333333,5.4193,-0.7269,2.64973423363342,2.64973423363342,0.9542333333333334,0.9542333333333334,1.5752,0.5361,0.4478007170854265,0.4478007170854265,1.044,1.044,1.7332,0.5154,0.509969593864837,0.509969593864837,0.7383000000000001,0.7383000000000001,1.214,0.2281,0.4032306122638343,0.4032306122638343,1.0866666666666667,1.0866666666666667,1.37,0.75,0.25590796956892314,0.25590796956892314,0.7238666666666668,0.7238666666666668,0.8834,0.5154,0.154168421611633,0.154168421611633,1.1833333333333333,1.1833333333333333,1.64,0.71,0.37985377303495205,0.37985377303495205,9.0,9.0,17.0,5.0,5.656854249492381,5.656854249492381,5.666666666666667,5.666666666666667,7.0,5.0,0.9428090415820634,0.9428090415820634,12.333333333333334,12.333333333333334,17.0,5.0,5.2493385826745405,5.2493385826745405,3.6666666666666665,3.6666666666666665,7.0,1.0,2.494438257849294,2.494438257849294,45.13333333333333,45.13333333333333,106.0,7.6,43.42789682015723,43.42789682015723
Pd2Br2N2,Pmmn,ABC-59-ab,0.0,ABC,29.333333333333332,29.333333333333332,46,7,16.418147141366337,16.418147141366337,2.733333333333333,2.733333333333333,3.04,2.2,0.37853518844209033,0.37853518844209033,-11.680000000000001,-11.680000000000001,-8.97,-13.5656,1.9646223318151166,1.9646223318151166,-1.9093333333333333,-1.9093333333333333,-0.5361,-3.515,1.2271865501580796,1.2271865501580796,-6.355566666666667,-6.355566666666667,-4.1184,-7.8585,1.6127431999202133,1.6127431999202133,2.0473666666666666,2.0473666666666666,5.4193,-3.4298,3.9073135053242005,3.9073135053242005,0.9030999999999999,0.9030999999999999,1.4218,0.5361,0.37716114151204216,0.37716114151204216,0.9521666666666667,0.9521666666666667,1.4577,0.5154,0.38775332651341915,0.38775332651341915,0.6741999999999999,0.6741999999999999,1.214,0.2281,0.40790887054177516,0.40790887054177516,1.0666666666666667,1.0666666666666667,1.31,0.75,0.23442601296689655,0.23442601296689655,0.6597666666666666,0.6597666666666666,0.8834,0.5154,0.16035045646610704,0.16035045646610704,1.0999999999999999,1.0999999999999999,1.39,0.71,0.28647280266487196,0.28647280266487196,10.666666666666666,10.666666666666666,17.0,5.0,4.921607686744467,4.921607686744467,7.333333333333333,7.333333333333333,10.0,5.0,2.0548046676563256,2.0548046676563256,14.0,14.0,17.0,10.0,2.943920288775949,2.943920288775949,1.3333333333333333,1.3333333333333333,3.0,0.0,1.247219128924647,1.247219128924647,20.466666666666665,20.466666666666665,32.0,7.6,10.00577610960567,10.00577610960567
Sc2Br2N2,Pmmn,ABC-59-ab,0.0,ABC,21.0,21.0,35,7,11.430952132988164,11.430952132988164,2.4533333333333336,2.4533333333333336,3.04,1.36,0.7737929668558351,0.7737929668558351,-11.041400000000001,-11.041400000000001,-7.0542,-13.5656,2.852467848489561,2.852467848489561,-1.4511,-1.4511,0.8386,-3.515,1.7845069290983433,1.7845069290983433,-6.061333333333334,-6.061333333333334,-3.2357,-7.8585,2.02251950519368,2.02251950519368,3.1291666666666664,3.1291666666666664,5.4193,-0.1844,2.399433997610455,2.399433997610455,0.9793666666666668,0.9793666666666668,1.6506,0.5361,0.48270361046459515,0.48270361046459515,1.0072666666666668,1.0072666666666668,1.623,0.5154,0.4605805418768313,0.4605805418768313,0.6743333333333332,0.6743333333333332,1.214,0.2281,0.4078782852218975,0.4078782852218975,1.11,1.11,1.44,0.75,0.28248893783651063,0.28248893783651063,0.6598999999999999,0.6598999999999999,0.8834,0.5154,0.16028464264135434,0.16028464264135434,1.2033333333333334,1.2033333333333334,1.7,0.71,0.40417268036763143,0.40417268036763143,8.333333333333334,8.333333333333334,17.0,3.0,6.182412330330469,6.182412330330469,5.0,5.0,7.0,3.0,1.632993161855452,1.632993161855452,11.666666666666666,11.666666666666666,17.0,3.0,6.182412330330469,6.182412330330469,4.333333333333333,4.333333333333333,9.0,1.0,3.39934634239519,3.39934634239519,45.46666666666667,45.46666666666667,107.0,7.6,43.89512754534633,43.89512754534633
Ti2Br2N2,Pmmn,ABC-59-ab,0.6209742712588799,ABC,21.333333333333332,21.333333333333332,35,7,11.440668201153676,11.440668201153676,2.513333333333333,2.513333333333333,3.04,1.54,0.6890250761442254,0.6890250761442254,-11.136833333333334,-11.136833333333334,-7.3405,-13.5656,2.7191477149201653,2.7191477149201653,-1.6344,-1.6344,0.2887,-3.515,1.5531447904171716,1.5531447904171716,-6.399933333333333,-6.399933333333333,-4.2515,-7.8585,1.5512466520690884,1.5512466520690884,3.135333333333333,3.135333333333333,5.4193,-0.1659,2.3909187025539413,2.3909187025539413,0.9443333333333334,0.9443333333333334,1.5455,0.5361,0.4340810548989927,0.4340810548989927,0.9789,0.9789,1.5379,0.5154,0.4228606941614067,0.4228606941614067,0.6537666666666667,0.6537666666666667,1.214,0.2281,0.4135866240046401,0.4135866240046401,1.0833333333333333,1.0833333333333333,1.36,0.75,0.25223445883190154,0.25223445883190154,0.6393333333333334,0.6393333333333334,0.8834,0.5154,0.1725881674842037,0.1725881674842037,1.17,1.17,1.6,0.71,0.36395970472933775,0.36395970472933775,8.666666666666666,8.666666666666666,17.0,4.0,5.90668171555645,5.90668171555645,5.333333333333333,5.333333333333333,7.0,4.0,1.247219128924647,1.247219128924647,12.0,12.0,17.0,4.0,5.715476066494082,5.715476066494082,4.0,4.0,8.0,1.0,2.943920288775949,2.943920288775949,40.46666666666666,40.46666666666666,92.0,7.6,36.89781685803225,36.89781685803225
W2Br2N2,Pmmn,ABC-59-ab,0.0,ABC,38.666666666666664,38.666666666666664,74,7,27.475241379993168,27.475241379993168,2.7866666666666666,2.7866666666666666,3.04,2.36,0.3034615113797612,0.3034615113797612,-11.634300000000001,-11.634300000000001,-8.8329,-13.5656,2.0277109968303337,2.0277109968303337,-1.8764333333333332,-1.8764333333333332,-0.4374,-3.515,1.264322111735068,1.264322111735068,-6.478233333333333,-6.478233333333333,-4.4864,-7.8585,1.4429772332076332,1.4429772332076332,3.0684666666666662,3.0684666666666662,5.4193,-0.3665,2.483328307377464,2.483328307377464,0.8982999999999999,0.8982999999999999,1.4074,0.5361,0.3705632019867416,0.3705632019867416,1.0016333333333334,1.0016333333333334,1.6061,0.5154,0.453056996659606,0.453056996659606,0.7442333333333333,0.7442333333333333,1.214,0.2281,0.4038251299208056,0.4038251299208056,1.1166666666666665,1.1166666666666665,1.46,0.75,0.29032548783888895,0.29032548783888895,0.7298,0.7298,0.8834,0.5154,0.1562657565388741,0.1562657565388741,1.1766666666666667,1.1766666666666667,1.62,0.71,0.37187214051188205,0.37187214051188205,14.0,14.0,20.0,5.0,6.48074069840786,6.48074069840786,6.0,6.0,7.0,5.0,0.816496580927726,0.816496580927726,12.666666666666666,12.666666666666666,17.0,6.0,4.784233364802441,4.784233364802441,3.3333333333333335,3.3333333333333335,6.0,1.0,2.0548046676563256,2.0548046676563256,34.8,34.8,75.0,7.6,29.0108025857036,29.0108025857036
Nb2Br2Se2,Pmmn,ABC-59-ab,0.0,ABC,36.666666666666664,36.666666666666664,41,34,3.091206165165235,3.091206165165235,2.37,2.37,2.96,1.6,0.5696197562116913,0.5696197562116913,-10.158866666666666,-10.158866666666666,-7.1783,-12.5044,2.220253109194735,2.220253109194735,-2.301666666666667,-2.301666666666667,-0.8556,-3.515,1.0980970489391588,1.0980970489391588,-6.3292,-6.3292,-4.6186,-7.8585,1.3288818031212057,1.3288818031212057,3.1451,3.1451,5.4193,-0.7269,2.751807556255827,2.751807556255827,1.0421,1.0421,1.5752,0.7514,0.3774739991045741,0.3774739991045741,1.1914666666666667,1.1914666666666667,1.7332,0.8834,0.3842656141553941,0.3842656141553941,0.41353333333333336,0.41353333333333336,0.7728,0.2281,0.2540840324687003,0.2540840324687003,1.2233333333333334,1.2233333333333334,1.37,1.14,0.10402991022884832,0.10402991022884832,0.8713333333333333,0.8713333333333333,0.9578,0.7728,0.07600637400171703,0.07600637400171703,1.3466666666666667,1.3466666666666667,1.64,1.2,0.20741798914805393,0.20741798914805393,12.666666666666666,12.666666666666666,17.0,5.0,5.436502143433364,5.436502143433364,6.0,6.0,7.0,5.0,0.816496580927726,0.816496580927726,12.666666666666666,12.666666666666666,17.0,5.0,5.436502143433364,5.436502143433364,3.3333333333333335,3.3333333333333335,7.0,1.0,2.6246692913372702,2.6246692913372702,51.346666666666664,51.346666666666664,106.0,21.8,38.688228470973215,38.688228470973215
